UV 1_280_ml,UV 1_280_mAU,UV 2_485_ml,UV 2_485_mAU
-4.806271,1.766649,-4.769337,0.039355
-4.806095,1.753482,-4.768897,0.046286
-4.805919,1.74053,-4.768457,0.050165
-4.805743,1.727209,-4.768018,0.053712
-4.805567,1.711251,-4.767578,0.058538
-4.805392,1.695194,-4.767138,0.063709
-4.805216,1.679335,-4.766698,0.067325
-4.80504,1.66309,-4.766259,0.064051
-4.804864,1.646744,-4.765819,0.060476
-4.804688,1.630313,-4.765379,0.046934
-4.804512,1.613669,-4.76494,0.024225
-4.804337,1.596577,-4.7645,0.000884
-4.804161,1.579364,-4.76406,-0.009609
-4.803985,1.56206,-4.763621,-0.017056
-4.803809,1.544798,-4.763181,-0.022367
-4.803633,1.52721,-4.762742,-0.021671
-4.803457,1.494912,-4.762302,-0.020857
-4.803281,1.455669,-4.761862,-0.020584
-4.803105,1.413297,-4.761422,-0.020844
-4.802929,1.370731,-4.760983,-0.021239
-4.802753,1.328675,-4.760543,-0.023946
-4.802578,1.286328,-4.760103,-0.027062
-4.802402,1.250355,-4.759664,-0.030356
-4.802226,1.224871,-4.759224,-0.034185
-4.80205,1.208902,-4.758784,-0.038385
-4.801874,1.192796,-4.758345,-0.044029
-4.801698,1.176921,-4.757905,-0.050709
-4.801523,1.161189,-4.757465,-0.056911
-4.801347,1.145045,-4.757026,-0.055083
-4.801171,1.138405,-4.756586,-0.052317
-4.800995,1.139969,-4.756146,-0.05033
-4.800819,1.14695,-4.755706,-0.050533
-4.800643,1.153997,-4.755267,-0.050015
-4.800467,1.161127,-4.754827,-0.046534
-4.800292,1.168148,-4.754387,-0.041864
-4.800116,1.171868,-4.753948,-0.039281
-4.79994,1.167968,-4.753508,-0.051802
-4.799764,1.153051,-4.753068,-0.062202
-4.799588,1.138229,-4.752629,-0.064299
-4.799412,1.123528,-4.752189,-0.051541
-4.799236,1.108827,-4.75175,-0.045208
-4.79906,1.093638,-4.75131,-0.052836
-4.798885,1.08397,-4.75087,-0.065487
-4.798709,1.078767,-4.750431,-0.073919
-4.798533,1.077517,-4.74999,-0.067198
-4.798357,1.076266,-4.749551,-0.059473
-4.798181,1.075031,-4.749111,-0.050043
-4.798005,1.073811,-4.748672,-0.038936
-4.79783,1.071042,-4.748232,-0.033953
-4.797654,1.057041,-4.747792,-0.039096
-4.797478,1.039743,-4.747353,-0.04713
-4.797302,1.021241,-4.746913,-0.054041
-4.797126,1.00313,-4.746473,-0.05855
-4.79695,0.984514,-4.746034,-0.062632
-4.796774,0.966011,-4.745594,-0.066013
-4.796598,0.94821,-4.745154,-0.068047
-4.796422,0.934225,-4.744715,-0.065848
-4.796247,0.922631,-4.744275,-0.058362
-4.796071,0.911844,-4.743835,-0.054486
-4.795895,0.901055,-4.743395,-0.056752
-4.795719,0.889829,-4.742956,-0.070039
-4.795543,0.878928,-4.742516,-0.078749
-4.795367,0.86852,-4.742076,-0.083407
-4.795192,0.859266,-4.741637,-0.078558
-4.795016,0.850755,-4.741197,-0.076687
-4.79484,0.842391,-4.740757,-0.078607
-4.794664,0.833993,-4.740318,-0.084647
-4.794488,0.825548,-4.739878,-0.087763
-4.794312,0.81716,-4.739439,-0.087115
-4.794137,0.807203,-4.738999,-0.087062
-4.793961,0.79371,-4.738559,-0.090535
-4.793785,0.781009,-4.738119,-0.101046
-4.793609,0.768347,-4.737679,-0.110461
-4.793433,0.755676,-4.73724,-0.118428
-4.793257,0.742994,-4.7368,-0.123823
-4.793081,0.730193,-4.736361,-0.120574
-4.792905,0.720249,-4.735921,-0.106442
-4.792729,0.713467,-4.735481,-0.095279
-4.792553,0.706674,-4.735042,-0.092656
-4.792378,0.699871,-4.734602,-0.102851
-4.792202,0.693087,-4.734162,-0.106816
-4.792026,0.686324,-4.733723,-0.105099
-4.79185,0.679372,-4.733283,-0.099881
-4.791674,0.670886,-4.732843,-0.097916
-4.791498,0.661764,-4.732404,-0.099788
-4.791323,0.652668,-4.731964,-0.101631
-4.791147,0.643552,-4.731524,-0.10276
-4.790971,0.634421,-4.731084,-0.103108
-4.790795,0.625075,-4.730645,-0.106371
-4.790619,0.61524,-4.730205,-0.111541
-4.790443,0.607863,-4.729765,-0.116478
-4.790267,0.600597,-4.729326,-0.117643
-4.790092,0.593321,-4.728886,-0.11482
-4.789916,0.58601,-4.728446,-0.112431
-4.78974,0.578796,-4.728007,-0.110751
-4.789564,0.571076,-4.727567,-0.109736
-4.789388,0.563303,-4.727128,-0.109531
-4.789212,0.556212,-4.726688,-0.109694
-4.789036,0.549074,-4.726248,-0.106343
-4.78886,0.541867,-4.725808,-0.095763
-4.788685,0.534642,-4.725368,-0.081073
-4.788509,0.527468,-4.724929,-0.085482
-4.788333,0.519878,-4.724489,-0.102676
-4.788157,0.512883,-4.72405,-0.125713
-4.787981,0.506224,-4.72361,-0.126361
-4.787805,0.499571,-4.72317,-0.119937
-4.78763,0.492931,-4.722731,-0.113427
-4.787454,0.486299,-4.722291,-0.110623
