UV 1_280_ml,UV 1_280_mAU,UV 2_485_ml,UV 2_485_mAU
-0.58088,1.477496,-0.550906,0.031477
-0.580738,1.439917,-0.550552,0.025298
-0.580597,1.401752,-0.550198,0.020404
-0.580455,1.365022,-0.549844,0.019273
-0.580313,1.33299,-0.549489,0.017686
-0.580172,1.315916,-0.549135,0.015564
-0.58003,1.313995,-0.548781,0.012715
-0.579888,1.312117,-0.548426,0.0098
-0.579747,1.310251,-0.548072,0.007534
-0.579605,1.308383,-0.547718,0.005694
-0.579463,1.30649,-0.547364,0.004292
-0.579321,1.304544,-0.547009,0.006266
-0.57918,1.303233,-0.546655,0.009252
-0.579038,1.302252,-0.546301,0.014441
-0.578896,1.307309,-0.545947,0.015858
-0.578755,1.312767,-0.545592,0.013841
-0.578613,1.318274,-0.545238,0.008244
-0.578471,1.323724,-0.544884,0.002574
-0.57833,1.329123,-0.544529,-0.00147
-0.578188,1.334615,-0.544175,-0.004702
-0.578046,1.340112,-0.543821,-0.00728
-0.577904,1.345439,-0.543467,-0.004681
-0.577763,1.349891,-0.543112,-0.000761
-0.577621,1.35307,-0.542758,0.004957
-0.577479,1.356251,-0.542404,0.004668
-0.577338,1.359434,-0.542049,-0.000084
-0.577196,1.362621,-0.541695,-0.00787
-0.577054,1.365809,-0.541341,-0.014209
-0.576913,1.369001,-0.540987,-0.015433
-0.576771,1.371145,-0.540632,-0.015491
-0.576629,1.372738,-0.540278,-0.014809
-0.576488,1.369592,-0.539924,-0.020877
-0.576346,1.36636,-0.53957,-0.027755
-0.576204,1.363066,-0.539215,-0.035338
-0.576062,1.359816,-0.538861,-0.041306
-0.575921,1.356593,-0.538507,-0.046264
-0.575779,1.353293,-0.538152,-0.050505
-0.575637,1.351735,-0.537798,-0.044482
-0.575496,1.355135,-0.537444,-0.017339
-0.575354,1.364857,-0.53709,0.010319
-0.575212,1.379167,-0.536735,0.037008
-0.575071,1.393438,-0.536381,0.03713
-0.574929,1.407729,-0.536027,0.03704
-0.574787,1.422099,-0.535673,0.036617
-0.574645,1.436454,-0.535318,0.036675
-0.574504,1.450798,-0.534964,0.036856
-0.574362,1.442053,-0.53461,0.036739
-0.57422,1.424675,-0.534255,0.035433
-0.574079,1.388936,-0.533901,0.032763
-0.573937,1.353354,-0.533547,0.029718
-0.573795,1.317878,-0.533193,0.026306
-0.573654,1.281842,-0.532838,0.021509
-0.573512,1.245891,-0.532484,0.016717
-0.57337,1.210227,-0.53213,0.011928
-0.573229,1.186493,-0.531775,0.007645
-0.573087,1.169461,-0.531421,0.003903
-0.572945,1.167831,-0.531067,0.001642
-0.572803,1.166444,-0.530713,0.003875
-0.572662,1.165055,-0.530358,0.009234
-0.57252,1.163662,-0.530004,0.008578
-0.572378,1.162266,-0.52965,0.002002
-0.572237,1.160865,-0.529296,-0.017557
-0.572095,1.145879,-0.528941,-0.032804
-0.571953,1.112723,-0.528587,-0.045486
-0.571812,1.075436,-0.528233,-0.040386
-0.57167,1.037036,-0.527878,-0.036366
-0.571528,0.99869,-0.527524,-0.034171
-0.571386,0.960354,-0.52717,-0.036049
-0.571245,0.922026,-0.526816,-0.040126
-0.571103,0.883678,-0.526461,-0.045106
-0.570961,0.849267,-0.526107,-0.050361
-0.57082,0.831118,-0.525753,-0.056188
-0.570678,0.815359,-0.525399,-0.061288
-0.570536,0.801559,-0.525044,-0.065917
-0.570395,0.78771,-0.52469,-0.068444
-0.570253,0.773911,-0.524336,-0.070618
-0.570111,0.760255,-0.523981,-0.072193
-0.56997,0.746555,-0.523627,-0.072917
-0.569828,0.732828,-0.523273,-0.073102
-0.569686,0.741849,-0.522919,-0.068641
-0.569544,0.752133,-0.522564,-0.06248
-0.569403,0.7634,-0.52221,-0.053616
-0.569261,0.774572,-0.521856,-0.052054
